序号,时间节点,年代分类,年代名称,事件描述,图片说明,原始图片URL,本地图片路径,本地文件名
18,1938年,yanan,延安岁月时期,毛泽东在延安和著名的“七君子”之一 全国各界救国联合会负责人 李公朴（前排左一）交谈,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610315061712.jpg,images/node_018_1938.jpg,node_018_1938.jpg
19,1938年,yanan,延安岁月时期,毛泽东会见访问延安民主人士梁漱溟,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610323164666.jpg,images/node_019_1938.jpg,node_019_1938.jpg
20,1938年,yanan,延安岁月时期,毛泽东在延安窑洞撰写《论持久战》 这篇著作是指导全民抗战的纲领性文件,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610324516073.jpg,images/node_020_1938.jpg,node_020_1938.jpg
21,1938年,yanan,延安岁月时期,毛泽东在中国人民抗日军政大学演讲,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610325953437.jpg,images/node_021_1938.jpg,node_021_1938.jpg
22,1938年4月,yanan,延安岁月时期,毛泽东在鲁迅艺术学院演讲,,https://p3.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610340033959.jpg,images/node_022_19384.jpg,node_022_19384.jpg
23,1939年,yanan,延安岁月时期,毛泽东和苏联记者卡尔曼在延安,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610345182627.jpg,images/node_023_1939.jpg,node_023_1939.jpg
24,1939年10月,yanan,延安岁月时期,毛泽东会见访问延安的美国记者斯诺,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610350137598.jpg,images/node_024_193910.jpg,node_024_193910.jpg
25,1939年,yanan,延安岁月时期,毛泽东和小八路,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610352427138.jpg,images/node_025_1939.jpg,node_025_1939.jpg
26,1942年3月23日,yanan,延安岁月时期,毛泽东在延安高级技术干部季会上讲话,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610355787656.jpg,images/node_026_1942323.jpg,node_026_1942323.jpg
27,1942年5月,yanan,延安岁月时期,毛泽东等和 参加延安文艺工作者座谈会的人员合影,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610360923640.jpg,images/node_027_19425.jpg,node_027_19425.jpg
28,1942年,yanan,延安岁月时期,毛泽东在延安给120师干部作报告,,https://p2.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610362155713.jpg,images/node_028_1942.jpg,node_028_1942.jpg
29,1943年,yanan,延安岁月时期,毛泽东在延安,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610371422780.jpg,images/node_029_1943.jpg,node_029_1943.jpg
30,1943年12月9日,yanan,延安岁月时期,毛泽东和陈云、林伯渠 参观陕甘宁边区第三届生产展览会,,https://p4.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610372897568.jpg,images/node_030_1943129.jpg,node_030_1943129.jpg
31,1944年9月,yanan,延安岁月时期,毛泽东会见 观看八路军留守兵团军事技术表演的 美军观察组成员,,https://p1.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610381633456.jpg,images/node_031_19449.jpg,node_031_19449.jpg
32,1945年,liberation,解放战争时期,毛泽东和彭德怀在延安,,https://p5.img.cctvpic.com/photoworkspace/contentimg/2021/12/26/2021122610383344953.jpg,images/node_032_1945.jpg,node_032_1945.jpg
